type,pitch,start_time,duration
note,G4,0.0,1.0
note,G4,1.0,1.0
note,G4,2.0,1.0
note,F#4,3.0,1.5
note,G4,4.5,0.5
note,A4,5.0,1.0
note,B4,6.0,1.0
note,B4,7.0,1.0
note,C5,8.0,1.0
note,A4,9.0,1.5
note,A4,10.5,0.5
note,B4,11.0,1.0
note,A4,12.0,1.0
note,F#4,13.0,1.5
note,G4,14.5,0.5
note,G4,15.0,3.0
note,G4,18.0,1.0
note,G4,19.0,1.0
note,G4,20.0,1.0
note,F#4,21.0,1.5
note,G4,22.5,0.5
note,A4,23.0,1.0
note,B4,24.0,1.0
note,B4,25.0,1.0
note,C5,26.0,1.0
note,A4,27.0,1.5
note,A4,28.5,0.5
note,B4,29.0,1.0
note,A4,30.0,1.0
note,F#4,31.0,1.5
note,G4,32.5,0.5
note,G4,33.0,3.0
note,D5,36.0,1.0
note,D5,37.0,1.0
note,D5,38.0,1.0
note,D5,39.0,1.5
note,C5,40.5,0.5
note,B4,41.0,1.0
note,C5,42.0,1.0
note,C5,43.0,1.0
note,C5,44.0,1.0
note,C5,45.0,1.5
note,B4,46.5,0.5
note,A4,47.0,1.0
note,B4,48.0,1.0
note,C5,49.0,0.5
note,B4,49.5,0.5
note,A4,50.0,0.5
note,G4,50.5,0.5
note,B4,51.0,1.5
note,C5,52.5,0.5
note,D5,53.0,1.0
note,E5,54.0,1.0
note,A4,55.0,1.5
note,G4,56.5,0.5
note,G4,57.0,3.0
note,A3,0.0,0.5
note,D4,0.5,0.5
note,D4,1.0,0.5
note,D4,1.5,0.5
note,D4,2.0,0.5
note,F4,2.5,0.5
note,G4,3.0,0.5
note,A4,3.5,1.0
note,A4,4.5,0.5
note,A4,5.0,1.0
note,A4,6.0,0.5
note,B-4,6.5,0.5
note,B-4,7.0,0.5
note,B-4,7.5,0.5
note,D5,8.0,1.0
note,B-4,9.0,0.5
note,A4,9.5,1.5
note,A4,11.0,1.0
note,D5,12.0,0.5
note,A4,12.5,1.0
note,D5,13.5,0.5
note,A4,14.0,1.0
note,G4,15.0,0.5
note,F4,15.5,1.0
note,F4,16.5,0.25
note,E4,16.75,0.25
note,D4,17.0,1.0
note,B-4,18.0,0.5
note,A4,18.5,1.0
note,G4,19.5,0.5
note,F4,20.0,0.5
note,G4,20.5,0.5
note,E4,21.0,0.5
note,D4,21.5,1.5
note,D4,23.0,1.0
note,D4,0.0,1/3
note,D4,1/3,1/3
note,D4,2/3,1/3
note,G4,1.0,1.0
note,A4,2.0,0.5
note,F#4,2.5,0.5
note,G4,3.0,1.0
note,B4,4.0,1.0
note,D5,5.0,1.0
note,E5,6.0,0.5
note,E5,6.5,0.5
note,D5,7.0,1.0
note,D4,8.0,1/3
note,D4,25/3,1/3
note,D4,26/3,1/3
note,G4,9.0,1.0
note,A4,10.0,0.5
note,F#4,10.5,0.5
note,G4,11.0,1.0
note,B4,12.0,1.0
note,D5,13.0,1.0
note,C5,14.0,0.5
note,A4,14.5,0.5
note,G4,15.0,1.0
note,B4,16.0,1.0
note,C5,17.0,0.5
note,D5,17.5,0.5
note,E5,18.0,0.5
note,C5,18.5,0.5
note,B4,19.0,0.5
note,D5,19.5,0.5
note,D5,20.0,0.5
note,B4,20.5,0.5
note,C5,21.0,1.0
note,B4,22.0,0.5
note,A4,22.5,0.5
note,G4,23.0,0.5
note,F#4,23.5,0.5
note,E4,24.0,0.5
note,D4,24.5,0.5
note,G4,25.0,1.0
note,A4,26.0,0.5
note,F#4,26.5,0.5
note,G4,27.0,1.0
note,B4,28.0,0.5
note,C5,28.5,0.5
note,D5,29.0,1.0
note,C5,30.0,0.5
note,A4,30.5,0.5
note,G4,31.0,0.5
note,F#4,31.5,0.5
note,E4,32.0,0.5
note,D4,32.5,0.5
note,G4,33.0,1.0
note,A4,34.0,0.5
note,F#4,34.5,0.5
note,G4,35.0,1.0
note,B4,36.0,0.5
note,C5,36.5,0.5
note,D5,37.0,1.0
note,C5,38.0,0.5
note,A4,38.5,0.5
note,G4,39.0,1.0
note,G4,0.0,2.0
note,D4,2.0,1.0
note,G4,3.0,2.0
note,A4,5.0,1.0
note,B4,6.0,1.5
note,A4,7.5,0.5
note,B4,8.0,1.0
note,A4,9.0,2.0
note,F#4,11.0,1.0
note,G4,12.0,2.0
note,D4,14.0,1.5
note,D4,15.5,0.5
note,G4,16.0,1.0
note,A4,17.0,1.0
note,B4,18.0,3.0
note,A4,21.0,3.0
note,A4,24.0,2.0
note,B4,26.0,1.0
note,C5,27.0,2.0
note,C5,29.0,1.0
note,B4,30.0,2.0
note,B4,32.0,1.0
note,A4,33.0,2.0
note,F#4,35.0,1.0
note,G4,36.0,2.0
note,G4,38.0,1.0
note,F#4,39.0,2.0
note,G4,41.0,0.5
note,F#4,41.5,0.5
note,E4,42.0,1.5
note,D4,43.5,0.5
note,C#4,44.0,1.0
note,D4,45.0,3.0
note,G4,48.0,0.5
note,G4,48.5,0.5
note,F#4,49.0,0.5
note,E4,49.5,0.5
note,D4,50.0,0.5
note,C4,50.5,0.5
note,G4,51.0,2.0
note,A4,53.0,1.0
note,B4,54.0,0.5
note,G4,54.5,0.5
note,B4,55.0,0.5
note,C5,55.5,0.5
note,B4,56.0,1.0
note,A4,57.0,2.0
note,F#4,59.0,1.0
note,G4,60.0,2.0
note,D4,62.0,1.0
note,G4,63.0,2.0
note,A4,65.0,1.0
note,B4,66.0,1.5
note,A4,67.5,0.5
note,B4,68.0,1.0
note,A4,69.0,3.0
note,A4,72.0,1.0
note,F#4,73.0,0.5
note,G4,73.5,0.5
note,A4,74.0,0.5
note,B4,74.5,0.5
note,C5,75.0,2.0
note,C5,77.0,1.0
note,B4,78.0,1.5
note,A4,79.5,0.5
note,B4,80.0,1.0
note,F#4,81.0,0.5
note,G4,81.5,0.5
note,A4,82.0,0.5
note,D4,82.5,0.5
note,E4,83.0,0.5
note,F#4,83.5,0.5
note,G4,84.0,2.0
note,G4,86.0,1.0
note,F#4,87.0,2.0
note,G4,89.0,1.0
note,C#4,90.0,0.5
note,D4,90.5,0.5
note,E4,91.0,0.5
note,D4,91.5,0.5
note,B3,92.0,0.5
note,C#4,92.5,0.5
note,D4,93.0,3.0
